date,day,records,avg_travel_time_min,min_travel_time_min,max_travel_time_min,avg_jam_score,min_jam_score,max_jam_score,is_complete_day,day_of_week_num,year,month,week_of_year
2026-01-16,Friday,5,10.36,10.12,10.52,86.9,85.6,89.0,True,4,2026,1,3
2026-01-19,Monday,5,9.84,9.75,9.9,91.46,90.9,92.3,True,0,2026,1,4
2026-01-20,Tuesday,5,11.93,11.1,13.17,75.66,68.4,81.1,True,1,2026,1,4
2026-01-21,Wednesday,5,11.49,11.02,11.93,78.38,75.4,81.7,True,2,2026,1,4
2026-01-22,Thursday,5,11.46,10.93,12.15,78.66,74.1,82.3,True,3,2026,1,4
2026-01-23,Friday,5,10.02,9.93,10.15,89.78,88.7,90.6,True,4,2026,1,4
2026-01-26,Monday,5,10.36,10.15,10.58,86.9,85.0,88.7,True,0,2026,1,5
2026-01-27,Tuesday,5,9.73,9.67,9.77,92.5,92.2,93.1,True,1,2026,1,5
2026-01-28,Wednesday,5,9.92,9.85,10.02,90.76,89.9,91.4,True,2,2026,1,5
2026-01-29,Thursday,5,9.89,9.83,9.93,91.0,90.6,91.5,True,3,2026,1,5
2026-01-30,Friday,5,9.89,9.8,10.02,91.02,89.9,91.8,True,4,2026,1,5
2026-02-02,Monday,5,11.21,10.68,11.77,80.38,76.5,84.2,True,0,2026,2,6
2026-02-03,Tuesday,1,10.83,10.83,10.83,83.1,83.1,83.1,False,1,2026,2,6
2026-02-04,Wednesday,5,10.42,10.2,10.62,86.42,84.8,88.2,True,2,2026,2,6
2026-02-05,Thursday,5,13.25,12.62,13.75,67.98,65.5,71.3,True,3,2026,2,6
2026-02-06,Friday,5,10.81,10.28,11.58,83.44,77.7,87.5,True,4,2026,2,6
2026-02-09,Monday,5,11.69,10.63,12.35,77.18,72.9,84.6,True,0,2026,2,7
2026-02-10,Tuesday,5,12.78,11.72,13.78,70.64,65.3,76.8,True,1,2026,2,7
2026-02-11,Wednesday,5,11.07,10.73,11.45,81.34,78.6,83.9,True,2,2026,2,7
2026-02-12,Thursday,5,11.23,10.95,11.52,80.14,78.1,82.2,True,3,2026,2,7
2026-02-13,Friday,5,10.62,10.2,11.27,84.88,79.9,88.2,True,4,2026,2,7
2026-02-16,Monday,5,9.98,9.93,10.03,90.18,89.7,90.6,True,0,2026,2,8
2026-02-17,Tuesday,5,10.82,10.25,11.33,83.32,79.4,87.8,True,1,2026,2,8
2026-02-18,Wednesday,4,11.33,11.22,11.52,79.45,78.1,80.2,False,2,2026,2,8
2026-02-19,Thursday,5,12.78,12.38,12.98,70.42,69.3,72.7,True,3,2026,2,8
2026-02-20,Friday,5,10.92,10.62,11.48,82.5,78.4,84.8,True,4,2026,2,8
2026-02-23,Monday,5,9.92,9.88,9.98,90.68,90.2,91.1,True,0,2026,2,9
2026-02-24,Tuesday,5,11.48,11.13,11.82,78.44,76.2,80.8,True,1,2026,2,9
2026-02-25,Wednesday,5,11.88,11.1,13.07,76.04,68.9,81.1,True,2,2026,2,9
2026-02-26,Thursday,5,12.9,11.95,14.3,70.1,62.9,75.3,True,3,2026,2,9
2026-02-27,Friday,5,13.15,11.97,14.38,68.72,62.6,75.2,True,4,2026,2,9
2026-03-02,Monday,5,11.14,10.42,11.92,81.0,75.5,86.4,True,0,2026,3,10
2026-03-03,Tuesday,5,11.82,11.17,13.18,76.44,68.3,80.6,True,1,2026,3,10
2026-03-04,Wednesday,5,11.2,10.77,11.5,80.4,78.3,83.6,True,2,2026,3,10
2026-03-05,Thursday,5,11.47,10.95,12.25,78.58,73.5,82.2,True,3,2026,3,10
2026-03-06,Friday,4,12.68,11.93,13.78,71.15,65.3,75.4,False,4,2026,3,10
